day,month_year,num0,num1,num2,num3,num4,num5,num6,num7,num8,num9,num10,num11,num12,num13,num14,num15,num16,num17,num18,num19
MERCREDI,2009-09-25,5,17,19,25,31,38,46,4,,,,,,,,,,,,
LUNDI   ,2009-10-02,8,27,28,29,31,32,35,11,,,,,,,,,,,,
SAMEDI  ,2009-10-09,5,15,25,38,42,46,47,26,,,,,,,,,,,,
MERCREDI,2009-10-16,4,10,18,20,31,35,44,29,,,,,,,,,,,,
LUNDI   ,2009-10-23,4,7,10,12,23,25,36,18,,,,,,,,,,,,
SAMEDI  ,2009-10-30,6,9,10,14,17,18,19,46,,,,,,,,,,,,
MERCREDI,2009-11-06,2,7,8,11,16,17,18,12,,,,,,,,,,,,
LUNDI   ,2009-11-06,1,3,10,24,31,32,42,,,,,,,,,,,,,
SAMEDI  ,2009-11-06,9,14,24,35,37,38,40,,,,,,,,,,,,,
MERCREDI,2009-11-06,24,28,30,32,43,44,47,,,,,,,,,,,,,
LUNDI   ,2009-11-06,2,19,30,38,40,46,47,,,,,,,,,,,,,
SAMEDI  ,2009-11-06,6,8,11,21,23,28,48,,,,,,,,,,,,,
MERCREDI,2009-11-06,7,11,14,16,34,44,46,,,,,,,,,,,,,
LUNDI   ,2009-11-06,10,13,17,18,26,28,40,,,,,,,,,,,,,
SAMEDI  ,2009-11-06,1,4,10,21,29,36,40,,,,,,,,,,,,,
MERCREDI,2009-11-06,6,9,10,24,29,47,49,,,,,,,,,,,,,
LUNDI   ,2009-11-06,2,14,16,18,23,36,44,,,,,,,,,,,,,
SAMEDI  ,2009-11-13,8,18,27,28,38,41,48,36,,,,,,,,,,,,
MERCREDI,2009-11-20,2,8,28,30,36,39,42,24,,,,,,,,,,,,
LUNDI   ,2009-11-27,11,15,24,26,37,38,43,17,,,,,,,,,,,,
SAMEDI  ,2009-12-04,1,6,13,19,32,35,40,7,,,,,,,,,,,,
MERCREDI,2009-12-11,1,4,5,7,22,29,48,13,,,,,,,,,,,,
LUNDI   ,2009-12-18,8,10,15,17,33,34,35,13,,,,,,,,,,,,
SAMEDI  ,2009-12-25,8,9,12,13,29,30,31,47,,,,,,,,,,,,
